"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"73",-145.10969504714,48.7685337780359,2017-06-16,TRUE,283.035,0.37,1,NA
"74",-68.4133520163596,52.4322466401806,2009-07-20,TRUE,NA,NA,2,NA
"75",-111.078520081937,-33.4253854171964,2020-12-11,TRUE,292.234,0.37,1,NA
"76",174.288797574118,58.2226839765424,2006-09-28,TRUE,283.903,0.37,1,0
"77",-39.3573335465044,27.202845649304,2014-02-26,TRUE,295.071,0.38,1,NA
"78",-121.757806353271,35.4382104136133,2012-10-13,TRUE,290.454,0.37,1,NA
"79",39.8627833463252,0.328984539192248,2004-04-17,TRUE,NA,NA,2,NA
"80",-99.0916545689106,11.6164321406107,2018-06-23,TRUE,302.482,0.38,1,NA
"81",-150.930459508672,-8.15183048897236,2004-04-23,TRUE,302.546,0.37,1,NA
"82",-60.3411287348717,-35.6883781061285,2003-05-20,TRUE,NA,NA,2,NA
"83",80.3750693891197,-25.0931525245472,2016-01-15,TRUE,299.453,0.39,1,NA
"84",-21.6810693684965,-2.84597526680848,2017-03-22,TRUE,302.257,0.38,1,NA
"85",143.822733610868,14.4748880431213,2016-05-08,TRUE,301.099,0.39,1,NA
"86",67.1593861095607,32.870704089999,2011-04-24,TRUE,NA,NA,2,NA
"87",-147.287952108309,-35.454875802667,2012-08-18,TRUE,288.874,0.38,1,NA
"88",161.990645946935,-65.6455811793318,2009-06-11,TRUE,271.35,0.36,9,0.86
"89",-124.982937304303,0.758466741098446,2004-08-04,TRUE,298.441,0.38,1,NA
"90",-66.6700887400657,45.209144270147,2019-05-11,TRUE,NA,NA,2,NA
"91",2.00979933142662,5.60868797286398,2018-12-03,TRUE,302.74,0.37,1,NA
"92",86.998726464808,-14.6723851196102,2003-10-20,TRUE,298.671,0.37,1,NA
"93",36.7642342206091,49.3541972232051,2004-12-28,TRUE,NA,NA,2,NA
"94",51.9597986340523,23.6988149777891,2018-04-06,TRUE,NA,NA,2,NA
"95",-70.1223747152835,-1.92351399665134,2005-04-28,TRUE,NA,NA,2,NA
"96",60.7551332283765,86.480239999629,2019-04-10,TRUE,271.35,0.35,9,1
"97",-45.5533965490758,-21.1803988282183,2020-04-02,TRUE,NA,NA,2,NA
"98",75.9076138213277,-25.1361059394928,2003-12-15,TRUE,298.117,0.37,1,NA
